OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
8644,E01032946,Leeds 110G,428552.985,435844.632,1384,317,115,952
8645,E01032945,Leeds 044F,427359.45,435944.805,2250,902,178,1170
8655,E01011416,Leeds 069C,435865.166,433704.253,83,43,7,33
8656,E01011497,Leeds 101E,429696.068,427522.474,80,20,9,51
8657,E01011417,Leeds 069D,435373.456,433437.377,54,24,5,25
8658,E01011496,Leeds 100A,432669.195,427925.87,65,35,5,25
8659,E01011414,Leeds 073B,436394.257,433822.128,82,33,9,40
8660,E01011415,Leeds 069B,435079.575,433470.549,68,31,7,30
8661,E01011494,Leeds 101D,430103.586,427693.545,61,12,8,41
8662,E01011412,Leeds 057F,436828.788,434009.237,53,19,4,30
8663,E01011493,Leeds 101C,429335.593,427832.443,83,16,11,56
8664,E01011413,Leeds 069A,435758.44,434080.14,79,28,8,43
8665,E01011410,Leeds 057E,437576.926,435104.626,42,15,4,23
8666,E01011411,Leeds 073A,437356.8,433377.835,78,28,6,44
8667,E01011490,Leeds 099A,431324.366,427911.889,94,43,8,43
8668,E01011418,Leeds 073C,436906.889,433254.184,76,36,7,33
8669,E01011499,Leeds 105C,431335.441,426265.076,104,28,13,63
8670,E01011419,Leeds 073D,436576.297,433052.234,54,24,8,22
8766,E01011626,Leeds 075D,431600.301,432863.257,137,45,9,83
8767,E01011624,Leeds 072D,434128.744,432907.731,114,17,18,79
8768,E01011625,Leeds 075C,432030.049,432893.509,72,20,7,45
8769,E01011622,Leeds 072C,433806.959,433637.452,121,32,19,70
8770,E01011623,Leeds 075B,432088.904,433300.827,75,21,10,44
8771,E01011620,Leeds 072B,434478.918,433058.64,76,28,12,36
8772,E01011621,Leeds 070D,433282.183,433009.587,90,25,15,50
8773,E01011628,Leeds 098B,434676.652,428825.161,47,14,5,28
8774,E01011629,Leeds 098C,434395.841,428582.658,51,22,0,29
8953,E01011366,Leeds 082A,428873.396,431898.923,96,30,5,61
8954,E01011364,Leeds 085A,429642.083,431761.285,126,30,21,75
8955,E01011362,Leeds 081A,427683.719,432683.718,71,27,3,41
8956,E01011363,Leeds 071E,428195.339,433034.619,90,28,14,48
8957,E01011360,Leeds 042D,430745.514,435533.891,194,35,16,143
8958,E01011361,Leeds 042E,431176.135,435532.735,276,56,50,170
8959,E01011368,Leeds 082C,429093.704,431841.902,82,23,12,47
8960,E01011369,Leeds 090E,428419.026,430989.325,46,19,5,22
9013,E01011506,Leeds 025B,429936.437,437869.391,82,23,9,50
9014,E01011587,Leeds 062B,421932.119,434102.084,70,28,9,33
9015,E01011507,Leeds 025C,429785.27,437371.518,76,17,9,50
9016,E01011586,Leeds 066A,420207.122,433738.951,78,34,8,36
9017,E01011504,Leeds 032A,431228.661,437630.277,96,31,14,51
